% 1. Title: 
% 
% 2. Sources:
%      (a) Creator: A. P. B. Grezzana
%      (b) Donor: 
%      (c) Date: June, 2021
% 
% 3. Past Usage:
% 
% 4. Relevant Information:
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 19 attributes and 2 classes.
% 
% 7. Attribute Information:
%    1. 14 Haralick features
%    2. 5 NGTDM features
%    3. class: 
%       -- 0
%       -- 1
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
% 
% 9. Class Distribution: 

@RELATION iris

@ATTRIBUTE haralickEnergy	REAL
@ATTRIBUTE haralickContrast	REAL
@ATTRIBUTE haralickCorrelation	REAL
@ATTRIBUTE haralickVariance	REAL
@ATTRIBUTE haralickHomogeneity	REAL
@ATTRIBUTE haralickSumAverage	REAL
@ATTRIBUTE haralickSumVariance	REAL
@ATTRIBUTE haralickSumEntropy	REAL
@ATTRIBUTE haralickEntropy	REAL
@ATTRIBUTE haralickDifVariance	REAL
@ATTRIBUTE haralickDifEntropy	REAL
@ATTRIBUTE haralickIMC1	REAL
@ATTRIBUTE haralickIMC2	REAL
@ATTRIBUTE haralickMCC	REAL
@ATTRIBUTE ngtdmCoarsness 	REAL
@ATTRIBUTE ngtdmContrast 	REAL
@ATTRIBUTE ngtdmBusyness 	REAL
@ATTRIBUTE ngtdmComplexity 	REAL
@ATTRIBUTE ngtdmTextureStrength 	REAL
@ATTRIBUTE class 	{0,1}

@DATA
3.014910e-04,3.746063e+04,3.140404e-02,6.983740e+04,2.017921e-04,4.708918e+02,2.554078e+05,6.415636e+00,1.226485e+01,3.746000e+04,5.385750e+00,-4.181770e-01,9.992370e-01,9.977045e-01,9.167738e+01,2.068848e-01,6.222640e-07,2.819950e+04,1.552337e+06,0
3.608060e-04,3.708073e+04,9.032329e-03,8.950687e+04,1.471381e-04,5.329068e+02,3.148512e+05,6.466416e+00,1.188384e+01,3.708010e+04,4.934090e+00,-3.736929e-01,9.978742e-01,9.915315e-01,8.438401e+01,1.620793e-01,4.645860e-07,2.828962e+04,1.328605e+06,0
1.383167e-04,3.756581e+04,4.261448e-02,7.085046e+04,3.167300e-04,4.726897e+02,2.579120e+05,6.633402e+00,1.339703e+01,3.756518e+04,5.643593e+00,-3.726278e-01,9.989171e-01,9.882672e-01,8.561581e+01,2.842171e-01,7.133685e-07,3.367647e+04,1.257347e+06,0
7.639333e-04,3.729495e+04,1.164448e-02,9.929522e+04,1.717343e-04,5.587896e+02,3.433165e+05,6.170587e+00,1.123500e+01,3.729433e+04,4.987288e+00,-4.066439e-01,9.983852e-01,1.000000e+00,7.265355e+01,1.047897e-01,2.541726e-07,3.934587e+04,3.154024e+06,0
1.862160e-04,3.763390e+04,6.518138e-02,8.058375e+04,2.493295e-04,5.001084e+02,2.863631e+05,6.643170e+00,1.307317e+01,3.763327e+04,5.472232e+00,-4.272810e-01,9.995893e-01,9.972047e-01,1.034484e+02,1.960077e-01,3.796224e-07,4.675752e+04,2.379931e+06,0
4.833080e-04,3.861103e+04,6.215174e-02,5.610595e+04,2.191113e-03,4.177170e+02,2.117075e+05,6.424818e+00,1.242986e+01,3.861040e+04,5.623665e+00,-4.094155e-01,9.991702e-01,9.983806e-01,6.022839e+01,2.777704e-01,2.119873e-06,4.185542e+04,1.824402e+06,0
2.611336e-04,3.723054e+04,2.544039e-02,8.934444e+04,1.689345e-04,5.305018e+02,3.136374e+05,6.568123e+00,1.262502e+01,3.722992e+04,5.254315e+00,-3.953333e-01,9.990083e-01,9.950606e-01,7.346827e+01,1.509034e-01,4.079494e-07,5.017928e+04,1.591887e+06,0
3.297702e-04,3.760719e+04,6.523504e-02,8.243917e+04,2.510132e-04,5.058601e+02,2.921060e+05,6.596831e+00,1.241082e+01,3.760657e+04,5.512213e+00,-4.856963e-01,9.998269e-01,9.989836e-01,1.376724e+02,1.138757e-01,2.726676e-07,2.804948e+04,3.366894e+06,0
3.277148e-04,3.747510e+04,5.138493e-02,8.802981e+04,2.522925e-04,5.237670e+02,3.090028e+05,6.571403e+00,1.251473e+01,3.747448e+04,5.549037e+00,-4.656463e-01,9.997528e-01,9.985283e-01,1.125377e+02,1.195097e-01,3.406588e-07,2.967289e+04,2.424876e+06,0
2.209051e-04,3.726596e+04,1.756818e-02,7.136844e+04,2.245965e-04,4.776439e+02,2.603232e+05,6.608116e+00,1.273143e+01,3.726533e+04,5.359860e+00,-3.666003e-01,9.983508e-01,9.882985e-01,7.820912e+01,1.662487e-01,6.753600e-07,4.569933e+04,1.415090e+06,0
2.178699e-04,3.785240e+04,8.575550e-02,8.229147e+04,3.179527e-04,5.026653e+02,2.909416e+05,6.674243e+00,1.296396e+01,3.785178e+04,5.560126e+00,-4.650405e-01,9.998075e-01,1.000000e+00,1.292475e+02,2.695364e-01,3.719233e-07,4.030060e+04,3.133950e+06,0
3.309461e-04,3.793831e+04,6.775492e-02,6.843214e+04,3.837371e-04,4.609084e+02,2.495030e+05,6.602868e+00,1.258502e+01,3.793769e+04,5.520746e+00,-4.622063e-01,9.997410e-01,9.979256e-01,1.425267e+02,1.411564e-01,6.241654e-07,3.401980e+04,3.947873e+06,0
1.826395e-04,3.745991e+04,4.078652e-02,7.359464e+04,2.489701e-04,4.817091e+02,2.662755e+05,6.572692e+00,1.290276e+01,3.745928e+04,5.521582e+00,-4.000154e-01,9.992116e-01,9.970041e-01,1.056903e+02,1.926790e-01,5.454603e-07,2.701880e+04,1.533867e+06,0
2.228494e-04,3.747643e+04,5.236638e-02,8.185116e+04,2.368931e-04,5.057246e+02,2.907624e+05,6.566006e+00,1.272209e+01,3.747580e+04,5.535691e+00,-4.327368e-01,9.995558e-01,9.984581e-01,1.062591e+02,2.388496e-01,3.972893e-07,3.102225e+04,1.841353e+06,0
2.648687e-04,3.757327e+04,5.005948e-02,7.304216e+04,2.706778e-04,4.787581e+02,2.643073e+05,6.608481e+00,1.232857e+01,3.757264e+04,5.590925e+00,-4.959782e-01,9.998530e-01,1.000000e+00,1.444875e+02,1.816467e-01,3.927896e-07,2.300912e+04,2.592662e+06,0
4.402452e-04,3.735766e+04,2.101406e-02,9.855108e+04,1.848074e-04,5.558110e+02,3.404825e+05,6.496824e+00,1.216139e+01,3.735703e+04,5.300188e+00,-4.154256e-01,9.991607e-01,9.947740e-01,9.446661e+01,1.398617e-01,2.543527e-07,4.394348e+04,2.446613e+06,0
4.631061e-04,3.704112e+04,8.467821e-03,8.521409e+04,1.419096e-04,5.207114e+02,3.021045e+05,6.473723e+00,1.155122e+01,3.704049e+04,4.771063e+00,-4.131055e-01,9.987785e-01,9.924341e-01,8.596470e+01,1.413152e-01,5.659874e-07,2.065961e+04,1.039312e+06,0
3.561251e-04,3.836817e+04,1.136015e-01,1.023329e+05,6.060093e-03,5.551078e+02,3.488566e+05,6.561329e+00,1.270403e+01,3.836754e+04,5.807171e+00,-4.717768e-01,9.998096e-01,9.990437e-01,8.213991e+01,3.150511e-01,2.998568e-07,4.723896e+04,3.198708e+06,0
2.288202e-04,3.717889e+04,1.266488e-02,9.329171e+04,1.593822e-04,5.428030e+02,3.256007e+05,6.545706e+00,1.257848e+01,3.717826e+04,5.158268e+00,-3.257510e-01,9.962512e-01,9.853015e-01,6.129370e+01,1.605431e-01,4.726501e-07,5.357648e+04,1.318246e+06,0
7.527615e-04,3.703563e+04,9.521871e-03,8.396933e+04,1.423234e-04,5.170978e+02,2.984680e+05,6.484919e+00,1.087912e+01,3.703500e+04,4.759207e+00,-5.127530e-01,9.997243e-01,1.000000e+00,1.271973e+02,4.555524e-02,2.893855e-07,1.291779e+04,1.832177e+06,0
1.740258e-04,3.741660e+04,3.348529e-02,7.293226e+04,3.991941e-04,4.807183e+02,2.646641e+05,6.597039e+00,1.328107e+01,3.741598e+04,5.471937e+00,-3.625276e-01,9.986032e-01,9.896007e-01,8.827284e+01,2.220437e-01,6.103615e-07,4.937959e+04,1.887980e+06,0
